amt,fiitax_se,tfica_se,totfedtax_se,fiitax_wage,tfica_wage,totfedtax_wage
16700,-29.09,2359.6299,2330.5398,212.55,1277.55,1490.1001
16800,-14.54,2373.76,2359.22,230.2,1285.2,1515.3999
16900,0,2387.8899,2387.8899,247.85001,1292.85,1540.7
17000,14.54,2402.02,2416.5601,265.5,1300.5,1566
17100,29.09,2416.1499,2445.24,283.14999,1308.15,1591.3
17200,43.630001,2430.28,2473.9099,300.79999,1315.8,1616.6001
17300,58.18,2444.4099,2502.5898,318.45001,1323.45,1641.8999
17400,72.720001,2458.54,2531.26,336.10001,1331.1,1667.2
17500,87.269997,2472.6699,2559.9399,353.75,1338.75,1692.5
17600,101.81,2486.8,2588.6101,371.39999,1346.4,1717.8
17700,116.35,2500.9299,2617.28,385,1354.05,1739.05
17800,130.89999,2515.0601,2645.96,395,1361.7,1756.7
17900,145.44,2529.1899,2674.6299,405,1369.35,1774.35
18000,159.99001,2543.3201,2703.3101,415,1377,1792
18100,174.53,2557.45,2731.98,425,1384.65,1809.65
18200,189.08,2571.5801,2760.6602,435,1392.3,1827.3
18300,203.62,2585.71,2789.3301,445,1399.95,1844.95
18400,218.17,2599.8401,2818.01,455,1407.6,1862.6
18500,232.71001,2613.97,2846.6799,465,1415.25,1880.25
18600,247.25,2628.1001,2875.3501,475,1422.9,1897.9
18700,261.79999,2642.23,2904.03,485,1430.55,1915.55
18800,276.34,2656.3601,2932.7002,495,1438.2,1933.2
18900,290.89001,2670.48,2961.3701,505,1445.85,1950.85
19000,304.62,2684.6101,2989.23,515,1453.5,1968.5
19100,312.04999,2698.74,3010.79,525,1461.15,1986.15
19200,319.48999,2712.8701,3032.3601,535,1468.8,2003.8
19300,326.92001,2727,3053.9199,545,1476.45,2021.45
19400,334.35001,2741.1299,3075.48,555,1484.1,2039.1
19500,341.79001,2755.26,3097.05,565,1491.75,2056.75
19600,349.22,2769.3899,3118.6099,575,1499.4,2074.3999
19700,356.66,2783.52,3140.1799,585,1507.05,2092.05
19800,364.09,2797.6499,3161.74,595,1514.7,2109.7
19900,371.53,2811.78,3183.3101,605,1522.35,2127.3501
20000,378.95999,2825.9099,3204.8699,615,1530,2145
20100,386.39999,2840.04,3226.4399,625,1537.65,2162.6499
20200,393.82999,2854.1699,3248,635,1545.3,2180.3
20300,401.26999,2868.3,3269.5701,645,1552.95,2197.95
20400,408.70001,2882.4299,3291.1299,655,1560.6,2215.6001
20500,416.14001,2896.5601,3312.7002,665,1568.25,2233.25
20600,423.57001,2910.6899,3334.26,675,1575.9,2250.8999
20700,431.01001,2924.8201,3355.8301,685,1583.55,2268.55
20800,438.44,2938.95,3377.3899,695,1591.2,2286.2
20900,445.88,2953.0801,3398.96,705,1598.85,2303.8501
21000,453.31,2967.21,3420.52,715,1606.5,2321.5
21100,460.75,2981.3301,3442.0801,725,1614.15,2339.1499
21200,468.17999,2995.46,3463.6399,735,1621.8,2356.8
21300,475.62,3009.5901,3485.21,745,1629.45,2374.45
21400,483.04999,3023.72,3506.77,755,1637.1,2392.1001
21500,490.48999,3037.8501,3528.3401,765,1644.75,2409.75
21600,497.92001,3051.98,3549.8999,775,1652.4,2427.3999
21700,505.35999,3066.1101,3571.4702,785,1660.05,2445.05
21800,512.78998,3080.24,3593.03,795,1667.7,2462.7
21900,520.22998,3094.3701,3614.6001,805,1675.35,2480.3501
22000,527.65997,3108.5,3636.1599,815,1683,2498
22100,535.09003,3122.6299,3657.72,825,1690.65,2515.6499
22200,542.53003,3136.76,3679.29,835,1698.3,2533.3
22300,549.96002,3150.8899,3700.8499,845,1705.95,2550.95
22400,557.40002,3165.02,3722.4199,855,1713.6,2568.6001
22500,564.83002,3179.1499,3743.98,865,1721.25,2586.25
22600,572.27002,3193.28,3765.55,875,1728.9,2603.8999
22700,579.70001,3207.4099,3787.1099,885,1736.55,2621.55
22800,587.14001,3221.54,3808.6802,895,1744.2,2639.2
22900,594.57001,3235.6699,3830.24,905,1751.85,2656.8501
23000,602.01001,3249.8,3851.8101,915,1759.5,2674.5
23100,609.44,3263.9299,3873.3699,925,1767.15,2692.1499
23200,616.88,3278.0601,3894.9399,935,1774.8,2709.8
23300,624.31,3292.1899,3916.5,945,1782.45,2727.45
23400,631.75,3306.3101,3938.0601,955,1790.1,2745.1001
23500,639.17999,3320.4399,3959.6199,965,1797.75,2762.75
23600,646.62,3334.5701,3981.1899,975,1805.4,2780.3999
23700,654.04999,3348.7,4002.75,985,1813.05,2798.05
23800,661.48999,3362.8301,4024.3201,995,1820.7,2815.7
23900,668.91998,3376.96,4045.8799,1005,1828.35,2833.3501
24000,676.35999,3391.0901,4067.4502,1015,1836,2851
24100,683.78998,3405.22,4089.01,1025,1843.65,2868.6499
24200,691.22998,3419.3501,4110.5801,1036.5,1851.3,2887.8
24300,698.65997,3433.48,4132.1401,1048.5,1858.95,2907.45
24400,706.09998,3447.6101,4153.71,1060.5,1866.6,2927.1001
24500,713.53003,3461.74,4175.27,1072.5,1874.25,2946.75
24600,720.96997,3475.8701,4196.8398,1084.5,1881.9,2966.3999
24700,728.40002,3490,4218.3999,1096.5,1889.55,2986.05
24800,735.83002,3504.1299,4239.96,1108.5,1897.2,3005.7
24900,743.27002,3518.26,4261.5303,1120.5,1904.85,3025.3501
25000,750.70001,3532.3899,4283.0898,1132.5,1912.5,3045
25100,758.14001,3546.52,4304.6602,1144.5,1920.15,3064.6499
25200,765.57001,3560.6499,4326.2197,1156.5,1927.8,3084.3
25300,773.01001,3574.78,4347.79,1168.5,1935.45,3103.95
25400,780.44,3588.9099,4369.3501,1180.5,1943.1,3123.6001
25500,787.88,3603.04,4390.9199,1192.5,1950.75,3143.25
25600,795.31,3617.1599,4412.4697,1204.5,1958.4,3162.8999
25700,802.75,3631.29,4434.04,1216.5,1966.05,3182.55
25800,810.17999,3645.4199,4455.6001,1228.5,1973.7,3202.2
25900,817.62,3659.55,4477.1699,1240.5,1981.35,3221.8501
26000,825.04999,3673.6799,4498.73,1252.5,1989,3241.5
26100,832.48999,3687.8101,4520.2998,1264.5,1996.65,3261.1499
26200,839.91998,3701.9399,4541.8599,1276.5,2004.3,3280.8
26300,847.35999,3716.0701,4563.4302,1288.5,2011.95,3300.45
26400,854.78998,3730.2,4584.9897,1300.5,2019.6,3320.1001
26500,862.22998,3744.3301,4606.5601,1312.5,2027.25,3339.75
26600,869.65997,3758.46,4628.1201,1324.5,2034.9,3359.3999
26700,877.09998,3772.5901,4649.6899,1336.5,2042.55,3379.05
26800,884.53003,3786.72,4671.25,1348.5,2050.2,3398.7
26900,891.96997,3800.8501,4692.8203,1360.5,2057.8501,3418.3501
27000,899.40002,3814.98,4714.3799,1372.5,2065.5,3438
27100,906.84003,3829.1101,4735.9502,1384.5,2073.1499,3457.6499
27200,914.27002,3843.24,4757.5098,1396.5,2080.8,3477.3
27300,921.71002,3857.3701,4779.0801,1408.5,2088.45,3496.95
27400,929.14001,3871.5,4800.6401,1420.5,2096.1001,3516.6001
27500,936.57001,3885.6299,4822.1997,1432.5,2103.75,3536.25
27600,944.01001,3899.76,4843.77,1444.5,2111.3999,3555.8999
27700,951.44,3913.8899,4865.3301,1456.5,2119.05,3575.55
27800,958.88,3928.01,4886.8901,1468.5,2126.7,3595.2
27900,966.31,3942.1399,4908.4497,1480.5,2134.3501,3614.8501
28000,973.75,3956.27,4930.02,1492.5,2142,3634.5
28100,981.17999,3970.3999,4951.5801,1504.5,2149.6499,3654.1499
28200,988.62,3984.53,4973.1499,1516.5,2157.3,3673.8
28300,996.04999,3998.6599,4994.71,1528.5,2164.95,3693.45
28400,1003.49,4012.79,5016.2803,1540.5,2172.6001,3713.1001
28500,1010.92,4026.9199,5037.8398,1552.5,2180.25,3732.75
28600,1018.36,4041.05,5059.4102,1564.5,2187.8999,3752.3999
28700,1025.79,4055.1799,5080.9697,1576.5,2195.55,3772.05
28800,1034.37,4069.3101,5103.6802,1588.5,2203.2,3791.7
28900,1043.29,4083.4399,5126.73,1600.5,2210.8501,3811.3501
29000,1052.22,4097.5698,5149.79,1612.5,2218.5,3831
29100,1061.14,4111.7002,5172.8403,1624.5,2226.1499,3850.6499
29200,1070.0601,4125.8301,5195.8901,1636.5,2233.8,3870.3
29300,1078.98,4139.96,5218.9399,1648.5,2241.45,3889.95
29400,1087.9,4154.0898,5241.9897,1660.5,2249.1001,3909.6001
29500,1096.83,4168.2202,5265.0503,1672.5,2256.75,3929.25
29600,1105.75,4182.3501,5288.1001,1684.5,2264.3999,3948.8999
29700,1114.67,4196.48,5311.1499,1696.5,2272.05,3968.55
29800,1123.59,4210.6099,5334.1997,1708.5,2279.7,3988.2
29900,1132.51,4224.7402,5357.25,1720.5,2287.3501,4007.8501
30000,1141.4301,4238.8599,5380.29,1732.5,2295,4027.5
30100,1150.36,4252.9902,5403.3501,1744.5,2302.6499,4047.1499
30200,1159.28,4267.1201,5426.4004,1756.5,2310.3,4066.8
30300,1168.2,4281.25,5449.4502,1768.5,2317.95,4086.45
30400,1177.12,4295.3799,5472.5,1780.5,2325.6001,4106.1001
30500,1186.04,4309.5098,5495.5498,1792.5,2333.25,4125.75
30600,1194.97,4323.6401,5518.6104,1804.5,2340.8999,4145.3999
30700,1203.89,4337.77,5541.6602,1816.5,2348.55,4165.0498
